Idiomatic_Sent,Original_Idiom,Original_Meaning,ai_generated_idioms,chinese_idiom,Translation_Instruction,Mandarin_Sentence_3.5,Mandarin_Sentence_4o,3.5_Evaluation_4,4o_Evaluation_4,3.5_Evaluation_4o,4o_Evaluation_4o
The manager-employee problems in this company are just the tip of the iceberg .,tip of the iceberg,"a small, noticeable part or aspect of a larger, more complex issue or problem","```json
{
  ""English idiom"": ""tip of the iceberg"",
  ""English definition"": ""A small, noticeable part of a problem, the total size of which is really much greater."",
  ""Chinese idiom 1"": ""冰山一角"",
  ""Chinese idiom 2"": ""管中窥豹"",
  ""Chinese idiom 3"": ""浅尝辄止""
}
```",冰山一角,"'tip of the iceberg' means '冰山一角'. Given the above knowledge, translate the following sentence to Chinese: 'The manager-employee problems in this company are just the tip of the iceberg .'",这家公司的经理与员工之间的问题只是冰山一角。,在这家公司，经理和员工之间的问题只是冰山一角。,3,3,3,3
"During the military coup , all the industry was advised to carry on as per their usual routine .",carry on,"to continue, proceed, or persist with an activity or task","{
    ""English idiom"": ""carry on"",
    ""English definition"": ""to continue doing something or to continue to behave in a particular way."",
    ""Chinese idiom 1"": ""坚持不懈"",
    ""Chinese idiom 2"": ""持之以恒"",
    ""Chinese idiom 3"": ""一如既往""
}",持之以恒,"'carry on' means '持之以恒'. Given the above knowledge, translate the following sentence to Chinese: 'During the military coup , all the industry was advised to carry on as per their usual routine .'",在军事政变期间，建议所有行业都按照他们的日常例行程序持之以恒。,在军事政变期间，所有行业都被建议按常规继续进行。,3,3,1,3
I really do n't like my project partner because he seems to be a yes man whenever I suggest ideas regarding optimizing code .,yes man,"a person who always agrees with and obeys someone in order to please them, often to the point of insincerity","{
  ""English idiom"": ""yes man"",
  ""English definition"": ""A person who agrees with everything that a superior says, often without questioning or offering their own opinion."",
  ""Chinese idiom 1"": ""唯命是从"",
  ""Chinese idiom 2"": ""俯首帖耳"",
  ""Chinese idiom 3"": ""言听计从""
}",唯命是从,"'yes man' means '唯命是从'. Given the above knowledge, translate the following sentence to Chinese: 'I really do n't like my project partner because he seems to be a yes man whenever I suggest ideas regarding optimizing code .'",我真的不喜欢我的项目伙伴，因为每当我提出关于代码优化的想法时，他似乎都是一个唯命是从的人。,我真的不喜欢我的项目伙伴，因为每当我提出优化代码的建议时，他似乎总是唯命是从。,3,3,3,3
Someone has said the truth a burnt child dreads the fire .,a burnt child dreads the fire,someone who has been hurt or had a bad experience is extra cautious to avoid similar situations in the future,"{
  ""English idiom"": ""a burnt child dreads the fire"",
  ""English definition"": ""A person who has had a negative experience will be cautious in similar situations in the future."",
  ""Chinese idiom 1"": ""一朝被蛇咬，十年怕井绳"",
  ""Chinese idiom 2"": ""吃一堑，长一智"",
  ""Chinese idiom 3"": ""惊弓之鸟""
}",一朝被蛇咬，十年怕井绳,"'a burnt child dreads the fire' means '一朝被蛇咬，十年怕井绳'. Given the above knowledge, translate the following sentence to Chinese: 'Someone has said the truth a burnt child dreads the fire .'",有人说过，一朝被蛇咬，十年怕井绳。,有人说得对，一朝被蛇咬，十年怕井绳。,3,2,3,3
The pastries at this shop are a cut above the rest and you must try them .,a cut above,of higher quality or better than average,"```json
{
  ""English idiom"": ""a cut above"",
  ""English definition"": ""someone or something that is better than others"",
  ""Chinese idiom 1"": ""技高一筹"",
  ""Chinese idiom 2"": ""高人一等"",
  ""Chinese idiom 3"": ""出类拔萃""
}
```",技高一筹,"'a cut above' means '技高一筹'. Given the above knowledge, translate the following sentence to Chinese: 'The pastries at this shop are a cut above the rest and you must try them .'",这家店的糕点技高一筹，你一定要试试。,这家店的糕点技高一筹，你一定要尝尝。,3,3,3,3
The checks for the charity are coming in dribs and drabs .,dribs and drabs,"small or insignificant amounts, often given or received intermittently","```json
{
  ""English idiom"": ""dribs and drabs"",
  ""English definition"": ""small quantities or small amounts that come sporadically or in fits and starts"",
  ""Chinese idiom 1"": ""零零星星"",
  ""Chinese idiom 2"": ""三三两两"",
  ""Chinese idiom 3"": ""断断续续""
}
```",零零星星,"'dribs and drabs' means '零零星星'. Given the above knowledge, translate the following sentence to Chinese: 'The checks for the charity are coming in dribs and drabs .'",这些慈善机构的支票零零星星地陆续到账。,慈善机构的支票零零星星地进来了。,3,3,3,3
Go with the flow and look for opportunities .,go with the flow,to adapt to a situation or circumstance without resistance or effort,"```json
{
  ""English idiom"": ""go with the flow"",
  ""English definition"": ""To accept a situation without trying to change it, to be relaxed and not worry about what you cannot control."",
  ""Chinese idiom 1"": ""随遇而安"",
  ""Chinese idiom 2"": ""听其自然"",
  ""Chinese idiom 3"": ""随机应变""
}
```",随遇而安,"'go with the flow' means '随遇而安'. Given the above knowledge, translate the following sentence to Chinese: 'Go with the flow and look for opportunities .'",随遇而安，寻找机会。,随遇而安并寻找机会。,3,3,3,2
I really get belly laugh when I am talking with him .,belly laugh,"a deep, hearty laugh","{
    ""English idiom"": ""belly laugh"",
    ""English definition"": ""A hearty, robust laugh that involves the entire body, often loud and uninhibited."",
    ""Chinese idiom 1"": ""捧腹大笑"",
    ""Chinese idiom 2"": """",
    ""Chinese idiom 3"": """"
}",捧腹大笑,"'belly laugh' means '捧腹大笑'. Given the above knowledge, translate the following sentence to Chinese: 'I really get belly laugh when I am talking with him .'",我和他交谈时真的会捧腹大笑。,跟他聊天的时候，我总是捧腹大笑。,3,3,3,3
The political party is in deep water after it was discovered that their candidate had lied in the report .,in deep water,in a difficult or dangerous situation; in trouble or facing serious consequences,"```json
{
  ""English idiom"": ""in deep water"",
  ""English definition"": ""To be in a difficult or dangerous situation"",
  ""Chinese idiom 1"": ""身处险境"",
  ""Chinese idiom 2"": ""走投无路"",
  ""Chinese idiom 3"": ""如履薄冰""
}
```",身处险境,"'in deep water' means '身处险境'. Given the above knowledge, translate the following sentence to Chinese: 'The political party is in deep water after it was discovered that their candidate had lied in the report .'",政党被发现其候选人在报告中撒谎后陷入了危机。,那个政党在发现他们的候选人在报告中撒谎之后，身处险境。,3,3,3,3
Dollars to donuts that the economy is going to be hit adversely due to fall in prices . ',dollars to donuts,"an expression used to indicate absolute certainty or confidence in a prediction or outcome, often used when comparing two unequal things","```json
{
  ""English idiom"": ""dollars to donuts"",
  ""English definition"": ""A phrase used to express a high degree of certainty that a particular outcome will occur or that a particular statement is true."",
  ""Chinese idiom 1"": """",
  ""Chinese idiom 2"": """",
  ""Chinese idiom 3"": """"
}
```",A phrase used to express a high degree of certainty that a particular outcome will occur or that a particular statement is true.,"'dollars to donuts' means 'A phrase used to express a high degree of certainty that a particular outcome will occur or that a particular statement is true.'. Given the above knowledge, translate the following sentence to Chinese: 'Dollars to donuts that the economy is going to be hit adversely due to fall in prices . ''",肯定会有经济受到不利影响的，赌输美元也比赌输糖果赌要大。,肯定会因为价格下降而对经济产生负面影响。,2,2,1,1
The automobile turned turtle on the highway when the storm got too strong .,turn turtle,"to overturn or capsize, especially in reference to a vehicle or vessel","```json
{
    ""English idiom"": ""turn turtle"",
    ""English definition"": ""To turn upside down or to capsize, especially in reference to a boat."",
    ""Chinese idiom 1"": ""船覆人亡"",
    ""Chinese idiom 2"": ""翻船落水"",
    ""Chinese idiom 3"": ""颠倒乾坤""
}
```",船覆人亡,"'turn turtle' means '船覆人亡'. Given the above knowledge, translate the following sentence to Chinese: 'The automobile turned turtle on the highway when the storm got too strong .'",汽车在高速公路上翻车，当暴风雨太猛烈时。,那辆汽车在风暴太强时在高速公路上翻车了。,3,3,3,3
Kim was terribly embarrassed having walked into Pat 's room while he was in the buff .,in the buff,naked or without clothing,"{
  ""English idiom"": ""in the buff"",
  ""English definition"": ""Naked; without clothes"",
  ""Chinese idiom 1"": ""赤身裸体"",
  ""Chinese idiom 2"": ""光溜溜"",
  ""Chinese idiom 3"": """"
}",赤身裸体,"'in the buff' means '赤身裸体'. Given the above knowledge, translate the following sentence to Chinese: 'Kim was terribly embarrassed having walked into Pat 's room while he was in the buff .'",Kim进入Pat的房间时，看到他赤身裸体，非常尴尬。,金非常尴尬，因为他走进帕特的房间时，帕特赤身裸体。,3,3,3,2
"While I was teaching , I observed that Salina is miles away from the lecture .",miles away,deeply lost in thought or daydreaming; not mentally present or paying attention,"```json
{
  ""English idiom"": ""miles away"",
  ""English definition"": ""To be deeply lost in thought or daydreaming, often to the extent of not being aware of one’s surroundings."",
  ""Chinese idiom 1"": ""神游太虚"",
  ""Chinese idiom 2"": ""魂不守舍"",
  ""Chinese idiom 3"": ""心不在焉""
}
```",魂不守舍,"'miles away' means '魂不守舍'. Given the above knowledge, translate the following sentence to Chinese: 'While I was teaching , I observed that Salina is miles away from the lecture .'",在我教学的时候，我注意到萨琳娜魂不守舍。,当我在上课时，我发现萨利娜魂不守舍。,3,3,3,3
"In old times , before the age of the internet , lovers would write letters to each other , and these love letters would be sealed with a kiss .",sealed with a kiss,"to be confirmed, finalized, or made official, especially in a romantic or intimate context","```json
{
  ""English idiom"": ""sealed with a kiss"",
  ""English definition"": ""A way to close a letter or message with an affectionate gesture, often used when writing to someone one loves."",
  ""Chinese idiom 1"": ""情深意重"",
  ""Chinese idiom 2"": ""鸳鸯戏水"",
  ""Chinese idiom 3"": ""琴瑟和鸣""
}
```",情深意重,"'sealed with a kiss' means '情深意重'. Given the above knowledge, translate the following sentence to Chinese: 'In old times , before the age of the internet , lovers would write letters to each other , and these love letters would be sealed with a kiss .'",在过去的时代，在互联网出现之前，恋人们会互相写信，而这些情书会有情深意重的印记。,在过去的时代，在互联网时代之前，恋人们会写信给对方，而这些情书情深意重。,2,1,1,1
